species,role,gestalt_k,n_included,exemplar_filename,extra_picks
Scarus_xanthopleura,regular,4,1,Scarus_xanthopleura_FishWise_074923F000024W000005.jpg,
Scarus_zelindae,regular,4,1,Scarus_zelindae_FishBase_Sczel_m0.jpg,
Scarus_zufar,regular,4,2,Scarus_zufar_FishBase_Sczuf_ip0.jpg,Scarus_zufar_FishBase_Sczuf_u2.jpg
Sparisoma_amplum,regular,4,2,Sparisoma_amplum_FishBase_Spamp_m0.jpg,Sparisoma_amplum_FishBase_Spamp_u0.jpg
Sparisoma_atomarium,regular,4,1,Sparisoma_atomarium_iNaturalist_416963640.jpg,
Sparisoma_aurofrenatum,regular,4,1,Sparisoma_aurofrenatum_FishWise_006218F000451W000006.jpg,
Sparisoma_axillare,regular,3,1,Sparisoma_axillare_FishWise_104712F000219W000002.jpg,
Sparisoma_choati,regular,4,1,Sparisoma_choati_FishWise_127853F006625W000001.jpg,
Sparisoma_chrysopterum,regular,2,2,Sparisoma_chrysopterum_FishBase_Spchr_u1.jpg,Sparisoma_chrysopterum_FishWise_014812F000024W000002.jpg
Sparisoma_cretense,regular,4,1,Sparisoma_cretense_FishWise_017011F000004W000008.jpg,
Sparisoma_frondosum,regular,3,2,Sparisoma_frondosum_FishBase_Spfro_m0.jpg,Sparisoma_frondosum_FishBase_Spfro_u1.jpg
Sparisoma_radians,regular,3,1,Sparisoma_radians_FishWise_058759F000024W000002.jpg,
Sparisoma_rocha,regular,3,1,Sparisoma_rocha_iNaturalist_19699811.jpg,
Sparisoma_tuiupiranga,regular,3,2,Sparisoma_tuiupiranga_FishBase_Sptui_f0.jpg,Sparisoma_tuiupiranga_FishBase_Sptui_u1.jpg
Sparisoma_viride,regular,4,2,Sparisoma_viride_FishBase_Spvir_u7.jpg,Sparisoma_viride_FishWise_073492F000451W000010.jpg
Chlorurus_japanensis,error,5,5,,Chlorurus_japanensis_FishBase_Chjap_u0.jpg;Chlorurus_japanensis_FishBase_Chjap_m0.jpg;Chlorurus_japanensis_FishWise_032713F000024W000001.jpg;Chlorurus_japanensis_FishWise_032713F000020W000007.jpg;Chlorurus_japanensis_FishWise_032713F000024W000002.jpg
